,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz\fultzma01,Washington,3,97,2493,1027,326,446,.456,.256,.668,25.7,10.6,3.4,4.6,3.2,.062,-2.0,0.0
2,2,LAL,Lonzo Ball\balllo01,UCLA,3,155,5020,1688,959,1023,.393,.343,.484,32.4,10.9,6.2,6.6,6.1,.058,0.6,3.3
3,3,BOS,Jayson Tatum\tatumja01,Duke,3,218,6936,3745,1297,470,.456,.399,.827,31.8,17.2,5.9,2.2,18.3,.127,1.5,6.2
4,4,PHO,Josh Jackson\jacksjo02,Kansas,3,174,4304,2110,756,333,.417,.298,.651,24.7,12.1,4.3,1.9,-1.9,-.021,-4.0,-2.2
5,5,SAC,De'Aaron Fox\foxde01,Kentucky,3,199,5998,3163,689,1214,.448,.335,.718,30.1,15.9,3.5,6.1,8.5,.068,-0.3,2.5
6,6,ORL,Jonathan Isaac\isaacjo01,Florida State,3,134,3481,1249,732,142,.432,.328,.794,26.0,9.3,5.5,1.1,6.5,.089,0.1,1.9
7,7,MIN,Lauri Markkanen\markkla01,Arizona,3,170,5194,2744,1291,228,.430,.356,.848,30.6,16.1,7.6,1.3,8.7,.080,-0.3,2.2
8,8,NYK,Frank Ntilikina\ntilila01,,3,178,3797,1066,385,543,.366,.311,.783,21.3,6.0,2.2,3.1,-0.9,-.011,-4.7,-2.5
9,9,DAL,Dennis Smith\smithde03,NC State,3,156,4094,1957,493,708,.400,.314,.647,26.2,12.5,3.2,4.5,-1.6,-.018,-2.7,-0.7
10,10,SAC,Zach Collins\colliza01,Gonzaga,3,146,2487,831,557,129,.442,.324,.730,17.0,5.7,3.8,0.9,3.7,.071,-2.5,-0.3
11,11,CHO,Malik Monk\monkma01,Kentucky,3,191,3281,1638,360,322,.395,.322,.850,17.2,8.6,1.9,1.7,1.0,.015,-2.9,-0.7
12,12,DET,Luke Kennard\kennalu01,Duke,3,164,3822,1613,457,353,.441,.402,.863,23.3,9.8,2.8,2.2,7.0,.088,-0.8,1.2
13,13,DEN,Donovan Mitchell\mitchdo01,Louisville,3,219,7401,4970,888,877,.440,.355,.821,33.8,22.7,4.1,4.0,15.4,.100,1.4,6.5
14,14,MIA,Bam Adebayo\adebaba01,Kentucky,3,216,5516,2259,1661,618,.558,.114,.711,25.5,10.5,7.7,2.9,19.2,.167,2.0,5.6
15,15,POR,Justin Jackson\jacksju01,UNC,3,207,4049,1365,541,219,.433,.325,.780,19.6,6.6,2.6,1.1,5.1,.061,-2.6,-0.6
16,16,CHI,Justin Patton\pattoju01,Creighton,3,9,49,16,11,5,.368,.167,.500,5.4,1.8,1.2,0.6,0.0,.014,-5.6,0.0
17,17,MIL,D.J. Wilson\wilsodj01,Michigan,3,101,1233,401,300,77,.416,.332,.569,12.2,4.0,3.0,0.8,2.1,.082,-2.5,-0.1
18,18,IND,T.J. Leaf\leaftj01,UCLA,3,136,1174,453,271,39,.497,.356,.610,8.6,3.3,2.0,0.3,2.7,.112,-1.6,0.1
19,19,ATL,John Collins\collijo01,Wake Forest,3,176,4977,2850,1552,279,.571,.369,.757,28.3,16.2,8.8,1.6,16.4,.158,1.1,3.9
20,20,POR,Harry Giles\gilesha01,Duke,2,96,1399,673,381,134,.524,.000,.679,14.6,7.0,4.0,1.4,2.4,.082,-2.2,-0.1
21,21,OKC,Terrance Ferguson\fergute01,,3,185,3864,911,261,136,.412,.340,.763,20.9,4.9,1.4,0.7,4.7,.058,-3.8,-1.8
22,22,BRK,Jarrett Allen\allenja01,Texas,3,216,5184,2141,1665,244,.607,.169,.692,24.0,9.9,7.7,1.1,19.0,.176,1.1,4.0
23,23,TOR,OG Anunoby\anunoog01,Indiana,3,204,4730,1582,722,201,.480,.362,.638,23.2,7.8,3.5,1.0,10.1,.103,-0.5,1.8
24,24,UTA,Tyler Lydon\lydonty01,Syracuse,2,26,96,23,18,6,.500,.400,.333,3.7,0.9,0.7,0.2,0.2,.084,-4.3,-0.1
25,25,ORL,Anžejs Pase??iks\pasecan01,,1,24,405,144,99,17,.528,.000,.593,16.9,6.0,4.1,0.7,0.5,.056,-5.4,-0.3
26,26,POR,Caleb Swanigan\swanica01,Purdue,3,75,655,169,218,56,.438,.118,.614,8.7,2.3,2.9,0.7,-0.2,-.014,-6.2,-0.7
27,27,BRK,Kyle Kuzma\kuzmaky01,Utah,3,201,6042,3224,1107,388,.449,.327,.733,30.1,16.0,5.5,1.9,8.4,.067,-1.5,0.6
28,28,LAL,Tony Bradley\bradlto01,UNC,3,62,600,258,242,19,.626,.500,.659,9.7,4.2,3.9,0.3,2.8,.225,0.4,0.4
29,29,SAS,Derrick White\whitede01,Colorado,3,145,3335,1350,466,478,.470,.359,.814,23.0,9.3,3.2,3.3,7.5,.108,0.9,2.5
30,30,UTA,Josh Hart\hartjo01,Villanova,3,187,4739,1600,881,267,.428,.353,.713,25.3,8.6,4.7,1.4,8.2,.083,-0.7,1.6
31,31,CHO,Frank Jackson\jacksfr01,Duke,2,112,1825,780,205,110,.416,.318,.745,16.3,7.0,1.8,1.0,0.4,.010,-5.1,-1.4
32,32,PHO,Davon Reed\reedda01,Miami (FL),2,31,289,75,45,16,.307,.310,.667,9.3,2.4,1.5,0.5,-0.2,-.039,-6.3,-0.3
33,33,ORL,Wesley Iwundu\iwundwe01,Kansas State,3,175,3063,805,434,176,.413,.307,.796,17.5,4.6,2.5,1.0,3.9,.061,-3.5,-1.2
34,34,SAC,Frank Mason\masonfr01,Kansas,3,96,1472,622,181,242,.387,.294,.767,15.3,6.5,1.9,2.5,0.8,.026,-2.8,-0.3
35,35,ORL,Ivan Rabb\rabbiv01,California,2,85,1237,485,364,86,.555,.200,.743,14.6,5.7,4.3,1.0,3.2,.125,-1.7,0.1
36,36,PHI,Jonah Bolden\boldejo01,,2,51,686,217,174,40,.486,.340,.484,13.5,4.3,3.4,0.8,1.4,.098,-1.3,0.1
37,37,BOS,Semi Ojeleye\ojelese01,SMU,3,190,2635,572,371,74,.390,.333,.685,13.9,3.0,2.0,0.4,3.6,.065,-3.5,-1.0
38,38,CHI,Jordan Bell\belljo01,Oregon,3,154,1853,578,472,194,.563,.222,.638,12.0,3.8,3.1,1.3,4.9,.126,0.5,1.2
39,39,PHI,Jawun Evans\evansja01,Oklahoma State,2,56,843,237,96,110,.345,.263,.776,15.1,4.2,1.7,2.0,-0.4,-.022,-5.4,-0.7
40,40,NOP,Dwayne Bacon\bacondw01,Florida State,3,135,2159,715,313,137,.403,.345,.718,16.0,5.3,2.3,1.0,0.3,.007,-5.0,-1.6
41,41,ATL,Tyler Dorsey\dorsety01,Oregon,2,104,1672,701,243,135,.389,.350,.669,16.1,6.7,2.3,1.3,1.0,.030,-3.1,-0.5
42,42,UTA,Thomas Bryant\bryanth01,Indiana,3,125,2469,1240,731,169,.604,.344,.755,19.8,9.9,5.8,1.4,8.5,.165,1.5,2.1
43,43,HOU,Isaiah Hartenstein\harteis01,,2,51,487,160,137,33,.593,.182,.714,9.5,3.1,2.7,0.6,1.5,.150,-1.6,0.1
44,44,NYK,Damyean Dotson\dotsoda01,Oregon,3,165,3314,1282,437,223,.419,.361,.721,20.1,7.8,2.6,1.4,3.0,.044,-2.2,-0.2
45,45,HOU,Dillon Brooks\brookdi01,Oregon,3,165,4531,2053,501,279,.418,.364,.775,27.5,12.4,3.0,1.7,2.1,.023,-4.3,-2.6
46,46,PHI,Sterling Brown\brownst02,SMU,3,157,2475,812,492,155,.418,.344,.762,15.8,5.2,3.1,1.0,3.8,.074,-2.1,-0.1
47,47,IND,Ike Anigbogu\anigbik01,UCLA,2,14,36,13,12,1,.333,,.833,2.6,0.9,0.9,0.1,0.0,.057,-1.1,0.0
48,48,MIL,Sindarius Thornwell\thornsi01,South Carolina,2,137,1469,344,184,86,.415,.342,.689,10.7,2.5,1.3,0.6,1.0,.034,-2.9,-0.3
49,49,DEN,Vlatko ?an?ar\cancavl01,,1,14,45,17,10,3,.400,.167,1.000,3.2,1.2,0.7,0.2,0.1,.069,-4.5,0.0
50,50,PHI,Mathias Lessort\lessoma01,,,,,,,,,,,,,,,,,,
51,51,DEN,Monte Morris\morrimo01,Iowa State,3,150,3397,1410,308,534,.480,.398,.814,22.6,9.4,2.1,3.6,9.8,.138,1.0,2.6
52,52,NOP,Edmond Sumner\sumneed01,Xavier,3,49,557,182,62,49,.398,.262,.641,11.4,3.7,1.3,1.0,0.4,.033,-3.9,-0.3
53,53,BOS,Kadeem Allen\allenka01,Arizona,3,47,640,258,71,109,.435,.349,.757,13.6,5.5,1.5,2.3,1.0,.075,-1.0,0.2
54,54,PHO,Alec Peters\peteral01,Valparaiso,1,20,225,82,37,12,.378,.310,.800,11.3,4.1,1.9,0.6,0.3,.055,-2.8,0.0
55,55,UTA,Nigel Williams-Goss\willini01,Gonzaga,1,9,28,4,5,5,.143,.000,1.000,3.1,0.4,0.6,0.6,0.0,-.045,-3.9,0.0
56,56,BOS,Jabari Bird\birdja01,California,1,13,115,39,19,8,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,.098,-3.1,0.0
57,57,BRK,Aleksandar Vezenkov\vezenal01,,,,,,,,,,,,,,,,,,
58,58,NYK,Ognjen Jaramaz\jaramog01,,,,,,,,,,,,,,,,,,
59,59,SAS,Jaron Blossomgame\blossja01,Clemson,1,27,439,114,98,13,.443,.256,.769,16.3,4.2,3.6,0.5,0.3,.030,-3.8,-0.2
60,60,ATL,Alpha Kaba\kabaal01,,,,,,,,,,,,,,,,,,
